TARGET_FID,provinsi,POS_HUJAN_ID,NAME,CURRENT_LATITUDE,CURRENT_LONGITUDE,tipe_iklim
375,Sulsel,73110201a,Bpp Tanete Rilau,-4.48,119.61,Monsunal
376,Sulsel,73110301a,Ex. Smpk Bpp Jampue,-4.39,119.62,Monsunal
377,Sulsel,73110302a,Sumpang Binangae,-4.41,119.62,Monsunal
378,Sulsel,73110303a,Kaerange Palakka,-4.43,119.71,Monsunal
379,Sulsel,73110501a,Bpp Palanro,-4.17,119.64,Monsunal
380,Sulsel,73110502a,Bojo,-4.08,119.62,Monsunal
381,Sulsel,73110601a,Bpp. Pujananting (Doi-Doi),-4.59,119.7,Monsunal
382,Sulsel,73110701a,Bpp Balusu,-4.32,119.64,Monsunal
383,Sulsel,73120101a,Bpp. Marioriwawo,-4.45,119.95,Monsunal
384,Sulsel,73120201a,Bpp. Pattojo / Liliriaja,-4.4,119.94,Ekuatorial
385,Sulsel,73120301a,Pajalesang/BPP Lilirilau,-4.34,119.96,Ekuatorial
386,Sulsel,73120401a,Smpk Bpp. Malanroe / Bpp. Lalabata,-4.34,119.92,Ekuatorial
387,Sulsel,73120402a,Watansoppeng,-4.36,119.88,Ekuatorial
388,Sulsel,73120501a,Bpp. Panincong,-4.21,119.89,Ekuatorial
389,Sulsel,73120601a,Donri - Donri,-4.27,119.87,Ekuatorial
390,Sulsel,73120701a,BPP Ganra,-4.3,119.93,Ekuatorial
391,Sulsel,73120801a,Citta,-4.43,120.02,Monsunal
392,Sulsel,73130101a,Bbi. Canru,-4.23,120.01,Ekuatorial
393,Sulsel,73130201a,Bpp. Palaguna,-4.17,120.04,Lokal
394,Sulsel,73130301a,BPP Takkalalla/Peneki,-4.18,120.28,Lokal
395,Sulsel,73130401a,ex. SMPK Sakkoli,-3.96,120.22,Ekuatorial
396,Sulsel,73130501a,Paria,-4.03,120.13,Lokal
397,Sulsel,73130502a,Tosora / Majauleng,-4.14,120.1,Lokal
398,Sulsel,73130601a,Tempe,-4.14,120.04,Lokal
399,Sulsel,73130701a,Menge / Belawa,-3.98,119.92,Lokal
400,Sulsel,73130801a,ex. SMPK. Bontouse,-4.05,120.03,Lokal
401,Sulsel,73130901a,Anabanua,-3.94,120.06,Lokal
402,Sulsel,73131001a,Siwa,-3.75,120.36,Ekuatorial
403,Sulsel,73131101a,Sanreseng Ade,-4.23,120.26,Lokal
404,Sulsel,73131201a,Bpp. Doping,-4.07,120.3,Lokal
405,Sulsel,73131401a,BPP Keera,-3.85,120.34,Ekuatorial
406,Sulsel,73140101a,Bilokka,-4.06,119.84,Ekuatorial
407,Sulsel,73140102a,Lajonga/Panca Lautang,-4.07,119.87,Ekuatorial
408,Sulsel,73140201a,Amparita,-3.98,119.81,Ekuatorial
409,Sulsel,73140301a,Bpp. Watan Pulu/Lawawoi,-3.88,119.76,Ekuatorial
410,Sulsel,73140401a,Bpp. Passeno Baranti,-3.85,119.77,Ekuatorial
411,Sulsel,73140501a,Bb. Rappang,-3.84,119.83,Ekuatorial
412,Sulsel,73140502a,Ex Smpk Lanrang,-3.85,119.83,Ekuatorial
413,Sulsel,73140601a,K U L O,-3.77,119.8,Ekuatorial
414,Sulsel,73140701a,Pangkajene/Diperta,-3.92,119.8,Ekuatorial
415,Sulsel,73140702a,Sereang/Sidrap,-3.94,119.78,Ekuatorial
416,Sulsel,73140801a,Empagae,-3.92,119.88,Lokal
417,Sulsel,73140901a,Bb. Tanrutedong/Dua Pitue,-3.88,120,Lokal
418,Sulsel,73141001a,Bulu Cenrana/Pituriawa,-3.85,119.95,Lokal
419,Sulsel,73141101a,Bpp. Bila/Bila Riase,-3.86,120.05,Ekuatorial
420,Sulsel,73150101a,Bpp. Langnga/Mattiro Sompe,-3.84,119.53,Monsunal
421,Sulsel,73150201a,Suppa/Maritengae/Majenang,-3.96,119.63,Monsunal
422,Sulsel,73150301a,Kariango/Mattirobulu,-3.84,119.64,Monsunal
423,Sulsel,73150302a,Bpp. Mananrang/Mattiro Bulu,-3.84,119.64,Monsunal
424,Sulsel,73150401a,BB Awang-awang/Watang Sawitto,-3.79,119.64,Monsunal
425,Sulsel,73150501a,BB Leppangen,-3.73,119.63,Monsunal
426,Sulsel,73150502a,BPP Teppo,-3.71,119.67,Monsunal
427,Sulsel,73150601a,Lampa/Duampanua,-3.66,119.53,Monsunal
428,Sulsel,73150602a,BPP Pekabatta/Bittoeng,-3.64,119.53,Monsunal
429,Sulsel,73150701a,Rajang/Lembang,-3.57,119.58,Monsunal
430,Sulsel,73150702a,Bpp. Lemo Susu/Lembang,-3.46,119.54,Monsunal
431,Sulsel,73150703a,Todokkong/Tuppu/Lembang,-3.54,119.53,Monsunal
432,Sulsel,73150801a,Bpp. Cempa,-3.75,119.59,Monsunal
433,Sulsel,73151001a,Lanrisang,-3.89,119.57,Monsunal
434,Sulsel,73151201a,Bpp. Batu Lappa,-3.66,119.71,Monsunal
435,Sulsel,73160101a,Maiwa / Maroangin,-3.77,119.86,Ekuatorial
436,Sulsel,73160201a,Enrekang,-3.58,119.77,Ekuatorial
437,Sulsel,73160202a,Garutu,-3.5,119.75,Monsunal
438,Sulsel,73160301a,Baraka,-3.41,119.86,Monsunal
439,Sulsel,73160302a,Baroko,-3.31,119.77,Monsunal
440,Sulsel,73160401a,Cakke / Anggeraja,-3.41,119.8,Monsunal
441,Sulsel,73160402a,Bpp Anggareja,-3.38,119.79,Monsunal
442,Sulsel,73160501a,Belajen/ Alle,-3.32,119.82,Monsunal
443,Sulsel,73160601a,Bungin,-3.54,119.95,Ekuatorial
444,Sulsel,73160701a,Kabere / Cendana,-3.67,119.79,Ekuatorial
445,Sulsel,73160801a,Curio,-3.31,119.91,Monsunal
446,Sulsel,73160901a,Malua,-3.38,119.87,Monsunal
447,Sulsel,73161001a,Buntu Batu,-3.47,119.9,Monsunal
448,Sulsel,73161101a,Masalle,-3.34,119.75,Monsunal
449,Sulsel,73170101a,BPK Basse Sangtempe,-3.17,120.04,Monsunal
450,Sulsel,73170201a,Larompong,-3.53,120.37,Ekuatorial
451,Sulsel,73170301a,Suli,-3.47,120.37,Ekuatorial
452,Sulsel,73170401a,Bpp. Bajo,-3.37,120.38,Ekuatorial
453,Sulsel,73170601a,Walenrang Barat,-2.8,120.2,Monsunal
454,Sulsel,73170602a,Bpp. Tombang/Ip3 Karetan/Walenrang,-2.89,120.16,Monsunal
455,Sulsel,73170701a,Belopa,-3.38,120.36,Ekuatorial
456,Sulsel,73170801a,Bastem/Bua,-3.09,120.23,Monsunal
457,Sulsel,73171001a,Larompong Selatan,-3.61,120.4,Ekuatorial
458,Sulsel,73171101a,Padang Sappa,-3.37,120.31,Ekuatorial
459,Sulsel,73171102a,Bpk Model Ponrang,-3.22,120.29,Monsunal
460,Sulsel,73171201a,BPP Latimojong,-3.37,120.19,Ekuatorial
461,Sulsel,73171202a,Bpp Latimojong,-3.37,120.19,Ekuatorial
462,Sulsel,73171401a,BPP Kamanre,-3.32,120.34,Ekuatorial
463,Sulsel,73171801a,Sinangkala/Lamasi Timur,-3.35,120.16,Monsunal
464,Sulsel,73171802a,Lamasi Timur/Seriti,-3.37,120.31,Ekuatorial
465,Sulsel,73180101a,Bpp. Ulusalu,-3.05,119.77,Monsunal
466,Sulsel,73180201a,Bpp. Bituang,-2.97,119.67,Monsunal
467,Sulsel,73180301a,Bpp. Bonggakaradeng/Leon,-3.19,119.73,Monsunal
468,Sulsel,73180501a,Toa'O,-3.09,119.85,Monsunal
469,Sulsel,73180901a,Stamet Pongtiku Tana Toraja,-3.05,119.82,Monsunal
470,Sulsel,73181201a,BPP Mengkendek/Tampo,-3.21,119.9,Monsunal
471,Sulsel,73181202a,Mebali,-3.2,119.89,Monsunal
472,Sulsel,73181901a,Salubarani/Gandasil,-3.21,119.9,Monsunal
473,Sulsel,73182701a,Makale Utara,-3.05,119.87,Monsunal
474,Sulsel,73183301a,Sangalla Selatan,-3.11,119.91,Monsunal
475,Sulsel,73183401a,Bpp. Sangalla,-3.07,119.92,Monsunal
476,Sulsel,73183501a,Bpp. Malimbong/Rembong,-3.08,119.78,Monsunal
477,Sulsel,73220101a,Amasangen/ Malangke,-2.78,120.43,Monsunal
478,Sulsel,73220201a,Ex. Smpk. Bone-Bone,-2.56,120.54,Monsunal
479,Sulsel,73220301a,Disperta Masamba,-2.43,120.33,Monsunal
480,Sulsel,73220302a,Stamet Masamba,-2.55,120.32,Monsunal
481,Sulsel,73220401a,Bpp. Sabbang,-2.52,120.21,Monsunal
482,Sulsel,73220501a,Limbong/Rongkong,-2.56,119.97,Monsunal
483,Sulsel,73220601a,Sukamaju,-2.54,120.48,Monsunal
484,Sulsel,73220701a,Seko,-2.27,119.89,Monsunal
485,Sulsel,73220801a,Malangke Barat,-2.76,120.25,Monsunal
486,Sulsel,73220901a,Rampi,-2.13,120.22,Monsunal
487,Sulsel,73221001a,Bpp. Cendana Putih/Mappadeceng,-2.58,120.38,Monsunal
488,Sulsel,73221101a,Baebunta,-2.46,120.19,Monsunal
489,Sulsel,73221201a,BP3K Tanalili,-2.61,120.6,Monsunal
490,Sulsel,73240101a,Maleku/ Wonorejo/Mangkutana,-2.35,120.65,Monsunal
491,Sulsel,73240301a,Towuti,-2.64,121.37,Monsunal
492,Sulsel,73240401a,Desa Malili,-2.64,121.31,Monsunal
493,Sulsel,73240501a,Bpp. Angkona,-2.59,120.97,Monsunal
494,Sulsel,73240502a,Dinas Pertanian Malili,-2.62,121.12,Monsunal
495,Sulsel,73240601a,Wotu,-2.6,120.81,Monsunal
496,Sulsel,73240701a,Bonepute/Wotu/Burau,-2.57,120.74,Monsunal
497,Sulsel,73240801a,Tomoni,-2.42,120.73,Monsunal
498,Sulsel,73241101a,Wasuponda / Nuha,-2.44,121.38,Monsunal
499,Sulsel,73260101a,Bpp. Rantepao,-2.96,119.89,Monsunal
500,Sulsel,73260201a,Bpp. To'Karau/Sesean,-2.9,119.95,Monsunal
501,Sulsel,73260301a,Nanggala,-2.99,119.99,Monsunal
502,Sulsel,73260401a,BPP Rindingallo,-2.9,119.81,Monsunal
503,Sulsel,73260701a,Bpp. Sanggalangi,-3.02,119.91,Monsunal
504,Sulsel,73261001a,Balusu,-2.92,120,Monsunal
505,Sulsel,73261501a,Kesu',-2.98,119.91,Monsunal
506,Sulsel,73261601a,Tondon,-2.96,119.95,Monsunal
507,Sulsel,73261801a,Rantebua,-3.09,119.99,Monsunal
508,Sulsel,73262001a,Kapalapitu,-2.94,119.84,Monsunal
509,Sulsel,73710701a,Stamar Paotere,-5.11,119.42,Monsunal
510,Sulsel,73710901a,Balai Wil. Iv,-5.15,119.45,Monsunal
511,Sulsel,73711001a,Bpp Barombong,-5.21,119.39,Monsunal
512,Sulsel,73711101a,Bpp Sudiang,-5.08,119.52,Monsunal
513,Sulsel,73711201a,Biring Romang,-5.18,119.48,Monsunal
514,Sulsel,73720101a,Bulu Dua,-4.17,120.04,Lokal
515,Sulsel,73720301a,Bukit Harapan,-5.02,119.66,Monsunal
516,Sulsel,73730101a,Wara,-3.04,120.17,Monsunal
517,Sulsel,73730401a,BP3K Bara,-2.96,120.19,Monsunal
518,Sulsel,73730402a,BPP Tellu Wanua,-2.92,120.18,Monsunal
519,Sulsel,73730601a,Wara Barat,-2.96,120.1,Monsunal
520,Sulsel,73730701a,BP3K Sendana Barat,-3.05,120.21,Monsunal
521,Sultra,74010101a,Kowioha,-4.11,121.68,Monsunal
522,Sultra,74010201a,Lalingato,-4.01,121.86,Monsunal
523,Sultra,74010301a,Lapangisi,-3.99,121.74,Monsunal
524,Sultra,74010401a,Balandete,-4.07,121.63,Monsunal
525,Sultra,74010702a,Sopura,-4.26,121.57,Monsunal
526,Sultra,74010801a,Tandebura,-4.5,121.51,Monsunal
527,Sultra,74010901a,Welala,-4.16,121.92,Monsunal
528,Sultra,74011001a,Konaweha,-3.84,121.26,Monsunal
529,Sultra,74011002a,Wolo,-3.88,121.33,Monsunal
530,Sultra,74011401a,Induha,-4.02,121.53,Monsunal
531,Sultra,74011801a,Petudua,-4.35,121.56,Monsunal
532,Sultra,74012002a,Kaloloa,-3.98,121.36,Monsunal
533,Sultra,74012401a,Rano Jaya,-4.54,121.5,Monsunal
534,Sultra,74020101a,Asaki,-3.95,122.07,Monsunal
535,Sultra,74020102a,Lambuya2,-4.06,122.02,Monsunal
536,Sultra,74020201a,Puunaha,-3.83,122.06,Monsunal
537,Sultra,74020301a,Lalosabila,-3.87,122.09,Monsunal
538,Sultra,74020501a,Pohara,-3.98,122.39,Monsunal
539,Sultra,74021001a,Padang Mekar,-3.73,121.89,Monsunal
540,Sultra,74021501a,Lalonggowuna,-3.81,121.99,Monsunal
541,Sultra,74021701a,Watundehoa,-4.05,122.12,Monsunal
542,Sultra,74021801a,Humboto,-3.92,122.06,Monsunal
543,Sultra,74021901a,Lalohao,-3.95,122.17,Monsunal
544,Sultra,74023601a,Lalonggasumeeto,-3.89,122.51,Monsunal
545,Sultra,74023901a,Paku Jaya,-3.9,122.38,Monsunal
546,Sulbar,74040601a,Spp. Binuang,-3.43,119.39,Monsunal
547,Sultra,74050101a,Ngapaha,-4.46,122.21,Monsunal
548,Sultra,74050201a,Lamooso,-4.12,122.17,Monsunal
549,Sultra,74050202a,Motaha,-4.14,122.11,Monsunal
550,Sultra,74050301a,Anese,-4.32,122.19,Monsunal
551,Sultra,74050401a,Wawonggura,-4.35,122.34,Monsunal
552,Sultra,74050402a,Onembute,-4.03,121.98,Monsunal
553,Sultra,74050501a,Lakomea,-4.1,122.32,Monsunal
554,Sultra,74050602a,Lainea,-4.3,122.47,Monsunal
555,Sultra,74050603a,Kaindi,-4.39,122.6,Monsunal
556,Sultra,74050801a,Amoito,-4.08,122.38,Monsunal
557,Sultra,74051001a,Margacinta,-4.15,122.64,Monsunal
558,Sultra,74051201a,Sumber Jaya,-4.37,122.01,Monsunal
559,Sultra,74051501a,Mulya Sari,-4.1,122.24,Monsunal
560,Sultra,74051701a,Buke,-4.28,122.22,Monsunal
561,Sultra,74051801a,Wolasi,-4.2,122.5,Monsunal
562,Sultra,74051902a,Rambu-Rambu,-4.31,122.45,Monsunal
563,Sultra,74060201a,Bambaea,-4.81,121.75,Monsunal
564,Sultra,74060202a,Teppoe,-4.82,121.76,Monsunal
565,Sultra,74060301a,Rarowatu,-4.73,121.95,Monsunal
566,Sultra,74060302a,Taubonto,-4.72,121.94,Monsunal
567,Sultra,74060401a,Kasipute,-4.75,122.02,Monsunal
568,Sultra,74060701a,Boepinang,-4.77,121.59,Monsunal
569,Sultra,74060702a,Toari Bombana,-4.6,121.48,Monsunal
570,Sultra,74080101a,Lasusua,-3.51,120.88,Monsunal
571,Sultra,74080201a,Olo-Oloho,-3.16,121.07,Monsunal
572,Sultra,74080401a,Rante Baru,-3.65,121.02,Monsunal
573,Sultra,74090101a,Lahimbua,-3.58,122.15,Monsunal
574,Sultra,74090102a,Wanggudu,-3.58,122.15,Monsunal
575,Sultra,74090201a,Lamonae,-3.24,122.15,Monsunal
576,Sultra,74090401a,Molawe,-3.61,122.2,Monsunal
577,Sultra,74090501a,Andumowu,-3.66,122.24,Monsunal
578,Sultra,74090601a,Lembo,-3.75,122.37,Monsunal
579,Sultra,74090801a,Mopute,-3.38,122.06,Monsunal
580,Sultra,74710101a,Mandonga,-3.97,122.51,Monsunal
581,Gorontalo,75010201a,Telaga,0.58,123.04,Ekuatorial
582,Gorontalo,75010301a,Batudaa,0.55,122.98,Ekuatorial
583,Gorontalo,75010401a,Stamet Djalaluddin,0.64,122.85,Ekuatorial
584,Gorontalo,75011001a,Telaga Biru,0.71,123.04,Ekuatorial
585,Gorontalo,75011002a,Stageof Gorontalo,0.65,123.01,Ekuatorial
586,Gorontalo,75011101a,Bongomeme,0.59,122.83,Ekuatorial
587,Gorontalo,75011301a,Lakeya,0.71,122.53,Ekuatorial
588,Gorontalo,75011401a,Mootilango,0.7,122.66,Ekuatorial
589,Gorontalo,75011701a,Limboto Barat,0.64,122.93,Ekuatorial
590,Gorontalo,75011801a,Tilango,0.57,123.03,Ekuatorial
591,Gorontalo,75012001a,Biluhu,0.49,122.8,Ekuatorial
592,Gorontalo,75012301a,Bilato,0.57,122.64,Ekuatorial
593,Gorontalo,75020101a,Paguyaman,0.64,122.56,Ekuatorial
594,Gorontalo,75020202a,Wonosari,0.7,122.45,Ekuatorial
595,Gorontalo,75020301a,Dulupi,0.58,122.46,Ekuatorial
596,Gorontalo,75020401a,Tilamuta,0.53,122.34,Ekuatorial
597,Gorontalo,75020501a,Mananggu,0.51,122.14,Ekuatorial
598,Gorontalo,75020601a,Botumoito,0.51,122.3,Ekuatorial
599,Gorontalo,75020701a,Paguyaman Pantai,0.51,122.58,Ekuatorial
600,Gorontalo,75030101a,Tapa,0.59,123.07,Ekuatorial
601,Gorontalo,75030201a,Kabila,0.54,123.1,Ekuatorial
602,Gorontalo,75030301a,Suwawa,0.53,123.14,Ekuatorial
603,Gorontalo,75030401a,Bone Pantai,0.38,123.21,Ekuatorial
604,Gorontalo,75030501a,Bulango Utara,0.63,123.08,Ekuatorial
605,Gorontalo,75030601a,Tilong Kabila,0.59,123.11,Ekuatorial
606,Gorontalo,75030603a,Staklim Bone Bolango,0.56,123.14,Ekuatorial
607,Gorontalo,75030701a,Botupingge,0.52,123.11,Ekuatorial
608,Gorontalo,75030801a,Kabila Bone,0.45,123.13,Ekuatorial
609,Gorontalo,75030901a,Bone,0.36,123.26,Ekuatorial
610,Gorontalo,75031001a,Bone Raya,0.31,123.34,Ekuatorial
611,Gorontalo,75031101a,Suwawa Timur,0.51,123.25,Ekuatorial
612,Gorontalo,75031201a,Suwawa Selatan,0.49,123.19,Ekuatorial
613,Gorontalo,75031301a,Suwawa Tengah,0.54,123.18,Ekuatorial
614,Gorontalo,75031701a,Bulawa,0.32,123.27,Ekuatorial
615,Gorontalo,75040101a,Popayato,0.5,121.46,Ekuatorial
616,Gorontalo,75040201a,Lemito,0.55,121.57,Ekuatorial
617,Gorontalo,75040301a,Randangan,0.53,121.81,Ekuatorial
618,Gorontalo,75040401a,Marisa,0.46,121.91,Ekuatorial
619,Gorontalo,75040501a,Paguat,0.5,122.07,Ekuatorial
620,Gorontalo,75040601a,Patilangio,0.51,121.86,Ekuatorial
621,Gorontalo,75040701a,Taluditi,0.63,121.82,Monsunal
622,Gorontalo,75040801a,Dengilo,0.64,122.11,Ekuatorial
623,Gorontalo,75041101a,Wonggarasi,0.56,121.53,Ekuatorial
624,Gorontalo,75041201a,Popayato Timur,0.52,121.49,Ekuatorial
625,Gorontalo,75041401a,Bulango Ulu,0.66,123.13,Ekuatorial
626,Gorontalo,75050101a,Atinggola I,0.89,123.12,Monsunal
627,Gorontalo,75050201a,Kwandang I,0.83,122.92,Monsunal
628,Gorontalo,75050202a,Kwandang II,0.76,122.87,Monsunal
629,Gorontalo,75050301a,Anggrek,0.85,122.78,Monsunal
630,Gorontalo,75050401a,Sumalata,0.98,122.42,Monsunal
631,Gorontalo,75050501a,Tolinggula,1.01,122.17,Monsunal
632,Gorontalo,75050601a,Gentuma Raya,0.92,123.03,Monsunal
633,Gorontalo,75050602a,Atinggola II,0.9,123.09,Monsunal
634,Gorontalo,75050901a,Monano,0.86,122.69,Monsunal
635,Gorontalo,75051101a,Sumalata Timur,0.95,122.56,Monsunal
636,Gorontalo,75710101a,Kota Barat,0.54,123.03,Ekuatorial
637,Gorontalo,75710201a,Kota Selatan,0.53,123.06,Ekuatorial
638,Gorontalo,75710301a,Kota Utara,0.56,123.09,Ekuatorial
639,Gorontalo,75710801a,Dumbo Raya,0.5,123.09,Ekuatorial
640,Sulbar,76010101a,Pskn. Randomayang,-1.02,119.48,Monsunal
641,Sulbar,76010201a,Poskeswan Mertajaya,-1.17,119.44,Monsunal
642,Sulbar,76010501a,Poskeswan Dapurang,-1.73,119.47,Monsunal
643,Sulbar,76010801a,Kantor Desa Lariang/Tikke Raya,-1.4,119.33,Monsunal
644,Sulbar,76010901a,Kantor Desa Malei,-1.25,119.33,Monsunal
645,Sulbar,76011201a,Bpp Baras/Lariang,-1.47,119.37,Monsunal
646,Sulbar,76020101a,Mamuju,-2.69,118.88,Monsunal
647,Sulbar,76020201a,Tappalang,-2.78,118.86,Monsunal
648,Sulbar,76020301a,Kalukku,-2.6,119.05,Monsunal
649,Sulbar,76020401a,Kalumpang,-2.47,119.48,Monsunal
650,Sulbar,76020501a,Budong-Budong,-2.08,119.24,Monsunal
651,Sulbar,76020601a,Pangale,-2.26,119.2,Monsunal
652,Sulbar,76020701a,Papalang,-2.43,119.15,Monsunal
653,Sulbar,76020801a,Sampaga,-2.35,119.22,Monsunal
654,Sulbar,76020901a,Topoyo,-2.05,119.27,Monsunal
655,Sulbar,76021001a,Karossa,-1.97,119.49,Monsunal
656,Sulbar,76021101a,Tommo,-2.25,119.46,Monsunal
657,Sulbar,76021201a,Simkep,-2.32,119.33,Monsunal
658,Sulbar,76021301a,Tappalang Barat,-2.77,118.78,Monsunal
659,Sulbar,76021401a,Tobadak,-2.1,119.36,Monsunal
660,Sulbar,76021501a,Bonehau,-2.61,119.26,Monsunal
661,Sulbar,76030101a,Bpp Mambi,-2.94,119.17,Monsunal
662,Sulbar,76030301a,Bpp Mamasa,-2.92,119.37,Monsunal
663,Sulbar,76030501a,Bpp Tabulahan,-2.67,119.19,Monsunal
664,Sulbar,76030601a,Bpp Sumarorong,-3.14,119.3,Monsunal
665,Sulbar,76030701a,Bpp Messawa,-3.25,119.34,Monsunal
666,Sulbar,76030901a,Bpp Tanduk Kalua,-3.07,119.32,Monsunal
667,Sulbar,76031301a,Bpp Nosu,-3.13,119.49,Monsunal
668,Sulbar,76040201a,Bpp. Campalagian,-3.42,119.16,Ekuatorial
669,Sulbar,76040301a,Bpp. Wonomulyo,-3.38,119.22,Ekuatorial
670,Sulbar,76040401a,Bbi Padi Lantora,-3.42,119.33,Monsunal
671,Sulbar,76040402a,Unasman Manding,-3.4,119.31,Monsunal
672,Sulbar,76040602a,Bpp. Tonyaman,-3.43,119.37,Monsunal
673,Sulbar,76040701a,Bpp. Tapango,-3.37,119.23,Ekuatorial
674,Sulbar,76040801a,Bpp. Mapilli,-3.4,119.2,Ekuatorial
675,Sulbar,76040802a,Breeding Andau,-3.32,119.17,Ekuatorial
676,Sulbar,76041101a,BPP. Limboro,-3.47,119.51,Monsunal
677,Sulbar,76041301a,Bpp. Anreapi,-3.37,119.36,Monsunal
678,Sulbar,76041401a,Bpp. Matakali,-3.37,119.29,Monsunal
679,Sulbar,76050101a,Bpp Banggae/Diperta,-3.53,118.94,Monsunal
680,Sulbar,76050201a,Bpp Pamboang,-3.48,118.9,Monsunal
681,Sulbar,76050301a,Bp3K Sendana,-3.36,118.87,Ekuatorial
682,Sulbar,76050401a,Bpp Malunda,-3,118.86,Monsunal
683,Sulbar,76050501a,Ulumanda,-3.04,118.87,Monsunal
684,Sulbar,76050601a,Bp3K Tammeroddo Sendana,-3.23,118.84,Monsunal
685,Sulbar,76050701a,Bp3K Tubo Sendana,-3.12,118.78,Monsunal
686,Sulbar,76050801a,Bp3K Kp. Baru / Banggae Timur,-3.53,118.98,Monsunal
